game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated
11,7,45,13,2,45,Bohnanza,45,1997,"Card Game,Farming,Negotiation",,Uwe Rosenberg,"Auf der schwäb'schen Eisenbohn,Bohn Camillo,Bohnanza Erweiterungs-Set,Bohnanza Erweiterungs-Set (Revised Edition),Bohnanza: Amigo Bohnentaler,Bohnanza: Bean Market,Bohnanza: Bohnaparte & High Bohn,Bohnanza: Das Fanbuch,Bohnanza: Die Jokerbohnen,Bohnanza: Princes & Pirates,Bohnanza: Spiderbeans,Bohnaparte,Bohnedikt,Bohnedikt (2016 Edition),Bohnröschen,Brettspiel Adventskalender 2015,Dschingis Bohn,Fasolki: Rozszerzenie,High Bohn,High Bohn Plus,High Bohn: Bohnenduell um 12 Uhr mittags,La Isla Bohnitâ,Ladybohn,Mutabohn,Telebohn","Hand Management,Set Collection,Trading","AMIGO Spiel + Freizeit GmbH,999 Games,Brain Games,Copag - Cia. Paulista de Artes Gráficas,Corfix,G3,Gigamic,Kaissa Chess & Games,Kikigagne?,Korea Boardgames co., Ltd.,Lautapelit.fi,Lifestyle Boardgames Ltd,Lookout Games,Mercurio,Midgaard Games,Möbius Games,Piatnik,Rio Grande Games,Stratelibri,Swan Panasia Co., Ltd.,Tempo Games",7.06751,28354
12,5,60,12,2,45,Ra,60,1999,"Ancient,Mythology",,Reiner Knizia,,"Auction/Bidding,Press Your Luck,Set Collection","alea,Ravensburger Spieleverlag GmbH,999 Games,ABACUSSPIELE,Edge Entertainment,Korea Boardgames co., Ltd.,New Games Order, LLC,Rio Grande Games,Swan Panasia Co., Ltd.,Überplay,Windrider Games",7.47505,15378
13,4,120,10,3,60,Catan,120,1995,Negotiation,"CATAN 3D Collector's Edition,Catan: Big Box,Catan: Big Box,The Settlers of Catan: 15th Anniversary Wood Edition",Klaus Teuber,"20 Jahre Darmstadt Spielt,Brettspiel Adventskalender 2015,Catakatoa,Catan Austria / Wien meets Catan,Catan Geographies: Austria,Catan Geographies: Bayern Edition,Catan Geographies: Corsica,Catan Geographies: Georgia,Catan Geographies: Kennessee,Catan Geographies: Mallorca,Catan Geographies: North Rhine – Westphalia,Catan Geographies: Settlers of Hesse,Catan Länderszenarien: Polen,Catan Länderszenarien: Rickshaw Run,Catan Scenarios: Big Game Big Honor,Catan Scenarios: Catanimals,Catan Scenarios: Frenemies,Catan Scenarios: Helpers of Catan,Catan Scenarios: Oil Springs,Catan Scenarios: Santa Claus,Catan World Championship Berlin 2014 Special,Catan: 5-6 Player Extension,Catan: 999 Games 25 jaar Expansion,Catan: Catan Day 2015 Exclusive Expansion,Catan: Cities & Knights,Catan: Cities & Knights – 5-6 Player Extension,Catan: Delmarva,Catan: Event Cards,Catan: Explorers & Pirates,Catan: Explorers & Pirates – 5-6 Player Extension,Catan: Indiana & Ohio,Catan: New England,Catan: New York,Catan: Penn/Jersey,Catan: Playmat Desert,Catan: Playmat Gold,Catan: Seafarers,Catan: Seafarers – 5-6 Player Extension,Catan: Seefahrer – 20 Jahre Jubiläums-Edition,Catan: Szenarien für Seefahrer – Die Legende der Seeräuber,Catan: The Carolinas,Catan: Traders & Barbarians,Catan: Traders & Barbarians – 5-6 Player Extension,Catan: World Championship Durango 2016 Special,Der Hafenmeister,Heroes & Capitols (fan expansion for Settlers of Catan),Hexen, Zauberer & Drachen (Fan expansion to Catan: Cities and Knights),Katani  pankur,Kirche, Glaube & Reformation (Fan expansion to Catan: Cities and Knights),De Kolonisten van Catan: De Diamanten,De Kolonisten van Catan: De drie Handelsteden van Noord-Nederland,De Kolonisten van Catan: De Koloniën,De Kolonisten van Catan: De Specialisten,De Kolonisten van Catan: De Wereldwonderen,De Kolonisten van Catan: De Woestijnruiters,De Kolonisten van Catan: Het Grote Kanaal,Mayfair Game Variants & Mini-Expansions Set #1,Die Pioniere (fan expansion for The Settlers of Catan),Saggsen-Gadan: De säggs'schn Siedler / Catan-OFFENSIVE in Chemnitz,The Settlers of Catan: The Fishermen of Catan,The Settlers of Catan: The Great River,Settlers of New Catan (and extra modules),Die Siedler von Catan: Atlantis – Szenarien & Varianten,Die Siedler von Catan: Das Buch zum Spielen,Die Siedler von Catan: Der Schokoladenmarkt,Die Siedler von Catan: Die große Karawane,Die Siedler von Catan: Hispania Edition,Die Siedler von Catan: Historische Szenarien,Die Siedler von Catan: Historische Szenarien II,Die Siedler von Catan: Hochzeitsturm,Die Siedler von Catan: Renaissance in der Steiermark & Burgbau auf Chaffenberch,Die Siedler von Catan: Rincewind und der Tourist  /  Die Gilden von Ankh-Morpork,Die Siedler von Catan: Schätze, Drachen & Entdecker,Die Siedler von Catan: Thüringen Edition,Die Siedler von Luxemburg,World Wonders (fan expansion to Catan)","Dice Rolling,Hand Management,Modular Board,Route/Network Building,Trading","KOSMOS,999 Games,Albi,Astrel Games,Bergsala Enigma,Brain Games,Capcom Co., Ltd.,Catan Studio,Competo / Marektoy,danspil,Descartes Editeur,Devir,Dexy Co,Eurogames,Filosofia Éditions,Galakta,Giochi Uniti,GP Games,Grow Jogos e Brinquedos,HaKubia,Hanayama,Hobby World,Ideal Board Games,IntelliGames.BG,Ísöld ehf.,Kaissa Chess & Games,Korea Boardgames co., Ltd.,L&M Games,Laser plus,Lautapelit.fi,Logojogos,Mayfair Games,Ninive Games,Piatnik,Smart Ltd,Stupor Mundi,Swan Panasia Co., Ltd.,Tilsit,Top Toys,TRY SOFT",7.26569,67655
14,4,25,10,3,25,Basari,25,1998,Negotiation,,Reinhard Staupe,,"Roll / Spin and Move,Set Collection,Simultaneous Action Selection","F.X. Schmid,New Games Order, LLC,Out of the Box Publishing",6.78156,1476
15,6,90,12,2,90,Cosmic Encounter,90,1977,"Bluffing,Negotiation,Science Fiction",,"Bill Eberle,Jack Kittredge,Bill Norton,Peter Olotka","Cosmic Encounter: Expansion Set #1,Cosmic Encounter: Expansion Set #2,Cosmic Encounter: Expansion Set #3,Cosmic Encounter: Expansion Set #4,Cosmic Encounter: Expansion Set #5,Cosmic Encounter: Expansion Set #6,Cosmic Encounter: Expansion Set #7,Cosmic Encounter: Expansion Set #8,Cosmic Encounter: Expansion Set #9,Cosmic Encounter: White Dwarf Magazine Expansion,Rencontre Cosmique: Extension No. 1","Hand Management,Variable Player Powers","Alga,ASS Altenburger Spielkarten,Descartes Editeur,Eon,Games Workshop Ltd.,Grow Jogos e Brinquedos,Tsukuda Hobby / Original,West End Games",6.9347,3629
16,4,60,12,3,60,MarraCash,60,1996,Economic,,Stefan Dorra,,Auction/Bidding,KOSMOS,6.84341,877
17,2,5,10,2,5,Button Men,5,1999,"Collectible Components,Dice,Fighting,Print & Play",,James Ernest,,"Dice Rolling,Press Your Luck","(Unknown),Atlas Games,Cheapass Games,Five Rings Publishing Group,Guardians of Order,Looney Labs,Studio Foglio,Truant Spiele",6.3087,724
18,8,120,12,2,45,RoboRally,120,1994,"Miniatures,Racing,Science Fiction",,Richard Garfield,"RoboRally: Armed and Dangerous,RoboRally: Crash and Burn,RoboRally: Grand Prix,RoboRally: King of the Hill,RoboRally: Radioactive","Action / Movement Programming,Grid Movement,Modular Board,Simultaneous Action Selection","999 Games,AMIGO Spiel + Freizeit GmbH,Avalon Hill (Hasbro),Hasbro,Play Factory,Wizards of the Coast",7.15355,19371
19,4,45,9,2,30,Wacky Wacky West,45,1991,"American West,Bluffing,City Building",,Klaus Teuber,,"Tile Placement,Voting","Hans im Glück Verlags-GmbH,Mayfair Games",6.31166,1459
20,4,90,12,2,90,Full Metal Planète,90,1988,Science Fiction,,"Gérard Delfanti,Gérard Mathieu,Pascal Trigaux",Full Metal Planete: Plateau Modulaire,Action Point Allowance System,Ludodélire,7.43592,602
22,16,240,12,1,240,Magic Realm,240,1979,"Adventure,Exploration,Fantasy",,Richard Hamblen,,"Action / Movement Programming,Modular Board,Rock-Paper-Scissors,Role Playing,Simultaneous Action Selection,Variable Player Powers","(Self-Published),Avalon Hill",7.14384,1709
23,6,360,12,2,360,Divine Right,360,1979,"Fantasy,Political,Wargame",,"Glenn Rahman,Kenneth Rahman",,"Dice Rolling,Hex-and-Counter,Variable Phase Order","Right Stuf,TSR",6.95654,483
24,6,240,12,2,240,Twilight Imperium,240,1997,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame",,Christian T. Petersen,"Twilight Imperium: Borderlands,Twilight Imperium: Distant Suns,Twilight Imperium: The Outer Rim","Dice Rolling,Hex-and-Counter,Modular Board,Tile Placement,Variable Player Powers,Voting",Fantasy Flight Games,6.66812,667
25,6,200,12,2,200,Battlemist,200,1998,"Exploration,Fantasy,Wargame",,Christian T. Petersen,Battlemist: The Sails of War,,Fantasy Flight Games,5.93231,308
26,6,360,12,3,360,Age of Renaissance,360,1996,"Civilization,Economic,Medieval,Renaissance",,"Don Greenwood,Jared Scarborough",,"Area Movement,Auction/Bidding","Avalon Hill,Descartes Editeur",7.0993,1944
27,6,340,12,2,340,Supremacy,340,1984,"Economic,Political,Wargame",,Robert J. Simpson,"Supremacy:  Boomers – Warlords and Pirates Blister Pack,Supremacy:  Tanks – Warlords and Pirates Blister Pack,Supremacy: Boomers – Ballistic Missile Subs,Supremacy: Colonial Legions and Merchant Marine,Supremacy: Field Marshall's Handbook,Supremacy: Fortuna,Supremacy: High-Tech Edge for Conventional Forces,Supremacy: High-Tech Edge for Strategic Forces,Supremacy: Main Battle Tanks,Supremacy: Mega Map,Supremacy: Mega Supremacy – Challenge of the New World Order,Supremacy: Neutron Bombs and Killer Satellites,Supremacy: Resource Deck 2,Supremacy: The Middle Powers,Supremacy: The Unconventional Forces,Supremacy: Warlords and Pirates of the Neutral Zones","Commodity Speculation,Dice Rolling","Descartes Editeur,Grow Jogos e Brinquedos,Supremacy Games",5.57724,1201
28,8,180,12,2,60,Illuminati:  Deluxe Edition,180,1987,"Card Game,Humor,Negotiation,Political",,Steve Jackson (I),"Illuminati: Bavarian Fire Drill,Illuminati: Brainwash,Illuminati: Mutual Assured Distraction,Illuminati: Unconstitutional! Promo Card,Illuminati: Y2K","Card Drafting,Dice Rolling,Route/Network Building,Tile Placement,Variable Player Powers","Descartes Editeur,Devir,Edge Entertainment,Finnish Game House,Laurin Verlag,Pegasus Spiele,Queen Games,Raven Distribution,Steve Jackson Games,Ubik",6.5289,4274
29,4,120,10,2,120,Terrain Vague,120,1993,"Fighting,Humor",,"Franck Parcabe,Roland Scaron",,"Action Point Allowance System,Modular Board",Ludodélire,6.66639,61
30,4,90,10,1,90,Dark Tower,90,1981,"Adventure,Electronic,Exploration,Fantasy,Fighting",,"Roger Burten,Alan Coleman,Vincent A. A. J. Erato",,"Area Movement,Press Your Luck",Milton Bradley,6.6435,1052
31,5,90,10,2,90,Dark World,90,1992,"Adventure,Exploration,Fantasy,Fighting,Miniatures",,Eamon Bloomfield,"Dark World: Dragon's Gate,Dark World: Village of Fear","Dice Rolling,Grid Movement","AS Company,Canada Games,Crown & Andrews Ltd.,Diset S. A.,Kod Kod,Mattel,Schmidt France,Schmidt Spiele,Selecta Spel en Hobby,Waddington's Games, Inc.",5.18525,590
32,2,30,8,2,30,Bison,30,1975,"Abstract Strategy,American West",,Alex Randolph,,,"Action GT,BHS Games,Lakeside,Pelikan,Piatnik,Schmidt Spiele,Venice Connection,Winning Moves France",6.04137,182
34,8,180,12,1,180,Arkham Horror,180,1987,"Adventure,Horror,Novel-based",,"Charlie Krank,Richard Launius,Sandy Petersen,Lynn Willis",,Co-operative Play,"Chaosium,Descartes Editeur,Hobby Japan",6.56386,453
36,8,300,12,2,300,Federation & Empire,300,1986,"Science Fiction,Wargame",,Stephen V. Cole,"Captain's Log #10,Captain's Log #11,Captain's Log #13,Captain's Log #15,Captain's Log #16,Captain's Log #29,Captain's Log #8,Captain's Log #9,Federation & Empire ISC War,Federation & Empire: Advanced Operations,Federation & Empire: Carrier War,Federation & Empire: Combined Operations,Federation & Empire: Fighter Operations,Federation & Empire: Minor Empires,Federation & Empire: Module 1 – Special Operations,Federation & Empire: Module 2 – Marine Assault,Federation & Empire: Planetary Operations,Federation & Empire: Reinforcements,Federation & Empire: Strategic Operations,Federation and Empire: The Hurricane,Star Fleet Battles: Captain's Module P1,Star Fleet Battles: Captain's Module P3 – Scenarios – 1",Hex-and-Counter,"Amarillo Design Bureau, Inc.,Task Force Games",6.23239,355
37,4,120,12,2,120,Dragon Masters,120,1991,"Fantasy,Wargame",,Ian Livingstone,Dragon Masters Expansion,,Games Workshop Ltd.,5.69731,130
38,4,30,10,2,30,Runes,30,1981,"Deduction,Word Game",,"Bill Eberle,Jack Kittredge,Peter Olotka",,,"Eon,franjos Spieleverlag",6.06707,82
39,4,60,12,2,60,Darkover,60,1979,"Bluffing,Fantasy,Novel-based",,"Bill Eberle,Jack Kittredge,Peter Olotka",,,Eon,5.22865,96
40,4,120,12,2,120,Borderlands,120,1982,"Bluffing,Civilization,Fantasy,Negotiation,Political",,"Bill Eberle,Jack Kittredge,Peter Olotka","Borderlands Expansion Set #1,Borderlands Expansion Set #2","Area Movement,Trading","Edition Spielkunst,Eon,Tsukuda Hobby / Original,Welt der Spiele",6.77517,254
41,4,30,9,2,30,Can't Stop,30,1980,Dice,,Sid Sackson,Can't Stop: Rollin' Down the Highway,"Dice Rolling,Press Your Luck","Asmodee,Borras Plana S.A.,Clipper,Eagle-Gryphon Games,Editrice Giochi,Face2Face Games,franjos Spieleverlag,Miro Company,New Games Order, LLC,Palitoy Ltd.,Parker Brothers,Ravensburger Spieleverlag GmbH",6.85659,9095
42,4,90,12,2,90,Tigris & Euphrates,90,1997,"Abstract Strategy,Ancient,Civilization,Territory Building",,Reiner Knizia,Euphrat & Tigris: Die Zikkurat,"Area Control / Area Influence,Hand Management,Set Collection,Tile Placement","Hans im Glück Verlags-GmbH,999 Games,Devir,Edge Entertainment,Fantasy Flight Games,Giochi Uniti,Heidelberger Spieleverlag,Lacerta,Matagot,Mayfair Games,Pegasus Spiele,Smart Ltd,Top Licence Games,Wargames Club Publishing",7.72379,20166
43,6,90,12,2,90,Airlines,90,1990,"Aviation / Flight,Economic",,Alan R. Moon,,"Route/Network Building,Stock Holding",ABACUSSPIELE,6.61065,346
44,6,60,8,3,60,David & Goliath,60,1998,Card Game,,Reinhard Staupe,,Trick-taking,"Berliner Spielkarten,Pegasus Spiele,Playroom Entertainment,Wargames Club Publishing",6.4529,1418
46,6,60,10,2,60,Medici,60,1995,Renaissance,,Reiner Knizia,,"Auction/Bidding,Set Collection","ABACUSSPIELE,AMIGO Spiel + Freizeit GmbH,Asmodee,Grail Games,Lui-même,Rio Grande Games",7.1502,5702
47,5,60,12,3,60,Chinatown,60,1999,"City Building,Economic,Negotiation",,Karsten Hartwig,,"Set Collection,Tile Placement,Trading","alea,Ravensburger Spieleverlag GmbH,Competo / Marektoy,Filosofia Éditions,Heidelberger Spieleverlag,Quined White Goblin Games,Z-Man Games",7.23234,5846
48,4,90,12,2,90,Krieg und Frieden,90,1999,"Medieval,Political",,Gerard Mulder,,Auction/Bidding,"999 Games,La Tana dei Goblin,TM Spiele",6.13737,646
49,5,30,10,2,30,Mamma Mia!,30,1999,Card Game,Mamma Mia! con Ingredientes dobles,Uwe Rosenberg,"Mamma Mia: Double Ingredients,Mamma Mia: Joker-Zutat,Stadt Land Spielt Limitierte Sonderdrucke 2015","Hand Management,Memory","ABACUSSPIELE,Brain Games,cutia.ro,dV Giochi,G3,HomoLudicus,Kaissa Chess & Games,Korea Boardgames co., Ltd.,Lifestyle Boardgames Ltd,Möbius Games,Oya,PS-Games,Red Glove,Rio Grande Games,Vennerød Forlag AS",6.48827,4824
50,2,30,10,2,30,Lost Cities,30,1999,"Card Game,Exploration",,Reiner Knizia,Lost Cities: Sixth Expedition,"Hand Management,Set Collection","999 Games,Albi,Competo / Marektoy,Devir,Filosofia Éditions,Galakta,Kaissa Chess & Games,Korea Boardgames co., Ltd.,KOSMOS,Laser plus,Midgaard Games,Piatnik,Playhouse Ltd,Rio Grande Games,Stupor Mundi,Swan Panasia Co., Ltd.,Tilsit,Zvezda",7.14784,26686
51,15,30,10,1,30,Ricochet Robots,30,1999,"Abstract Strategy,Maze,Puzzle,Real-time",,Alex Randolph,,"Grid Movement,Modular Board","ABACUSSPIELE,Devir,Gém Klub Kft.,Hans im Glück Verlags-GmbH,Korea Boardgames co., Ltd.,Oya,Playgo Hungary,Rio Grande Games,Swan Panasia Co., Ltd.,Z-Man Games",6.99357,6278
52,3,300,14,2,300,Mighty Empires,300,1990,"Fantasy,Territory Building,Wargame",,"Rick Priestley,Nigel Stillman",,,Games Workshop Ltd.,6.08468,449
54,4,90,13,2,90,Tikal,90,1999,"Exploration,Territory Building",,"Michael Kiesling,Wolfgang Kramer",Jungle Zombie,"Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Grid Movement,Set Collection,Tile Placement","Ravensburger Spieleverlag GmbH,Rio Grande Games,dV Giochi,Egmont Polska,Gém Klub Kft.,Kellogg's,Maldito Games,Super Meeple",7.34313,13674
55,6,0,12,2,0,Sophie's World,0,1998,Trivia,,"Ken Howard,Robert Hyde",,,"KOSMOS,Orion,Pontaccio,Sophisticated Games",4.93768,69
57,4,180,13,2,180,Schoko & Co.,180,1987,Economic,,"Yves Hirschfeld,Gilles Monnet",,"Auction/Bidding,Commodity Speculation",Schmidt Spiele,6.6678,371
58,4,120,12,2,120,Kings & Things,120,1986,"Bluffing,Exploration,Fantasy,Territory Building,Wargame",,"Doug Kaufman,Robert J. Kuntz,Tom Wham",,"Area Control / Area Influence,Area Movement,Hex-and-Counter,Modular Board,Secret Unit Deployment","Games Workshop Ltd.,Hobby Japan,Pegasus Spiele,West End Games,Z-Man Games",6.53692,1477
59,4,90,10,3,90,Giganten,90,1999,"Economic,Exploration,Industry / Manufacturing",,Wilko Manz,,"Auction/Bidding,Commodity Speculation",KOSMOS,6.75663,1294
60,6,90,14,3,90,Vinci,90,1999,"Ancient,Civilization,Territory Building",,Philippe Keyaerts,,"Area Control / Area Influence,Area Movement,Variable Player Powers",Descartes Editeur,7.13097,3712
61,6,40,10,2,40,Fossil,40,1998,Ancient,,Klaus Palesch,,Set Collection,"Goldsieber Spiele,Rio Grande Games",5.41618,617
62,4,120,12,1,120,Curse of the Mummy's Tomb,120,1988,"Adventure,Ancient,Horror",,Stephen Hand,Curse of the Mummy's Tomb: In Search of Eternity,Action / Movement Programming,"Games Workshop Ltd.,Sfera",5.22768,298
63,8,180,12,2,180,Samurai,180,1979,"Political,Wargame",,Dan Campagna,,Area Movement,"Avalon Hill,Battleline",6.38198,369
64,6,180,12,3,180,Joan of Arc,180,1998,"Card Game,Medieval,Political,Wargame",,Pascal Bernard,,,"Clash of Arms Games,Tilsit,Truant Spiele",6.26579,409
66,4,90,12,2,90,Löwenherz,90,1997,"Medieval,Political",,Klaus Teuber,,"Area Control / Area Influence,Auction/Bidding,Modular Board","Goldsieber Spiele,Rio Grande Games",7.08413,2193
67,4,120,10,2,120,Conquest,120,1974,"Abstract Strategy,Ancient,Wargame",,Donald Benge,,"Action Point Allowance System,Point to Point Movement","(Self-Published),Bütehorn Spiele,Hexagames (I),Numbskull Games,Quest Games",6.27156,333
68,4,180,12,2,180,Successors (second edition),180,1997,"Ancient,Wargame",,"Richard H. Berg,Mark Simonitch",,"Campaign / Battle Card Driven,Point to Point Movement","Avalon Hill,Wydawnictwo Gołębiewski",7.02629,439
70,5,60,10,2,60,Big City,60,1999,City Building,,Franz-Benno Delonge,,"Hand Management,Modular Board,Tile Placement","999 Games,Goldsieber Spiele,Rio Grande Games",6.9039,2164
71,7,360,12,2,360,Civilization,360,1980,"Ancient,Civilization,Economic,Negotiation",,"Francis Tresham,Mick (Mike) Uhl","Advanced Civilization,Civilization Eastern Expansion Map,Civilization Expansion Trade Cards Set,Civilization Western Extension Map,Civilization: The Expansion Project,Civilization: The New World","Area Control / Area Influence,Area Movement,Hand Management,Set Collection,Trading","Avalon Hill,ACE Pelit Oy,Compendium Games,Descartes Editeur,Gibsons Games,Hartland Trefoil Ltd.,Joc Internacional,Piatnik,Spiel & Kunst,Welt der Spiele",7.52258,6178
72,4,60,12,3,60,Verräter,60,1998,"Card Game,Political",,Marcel-André Casasola Merkle,Verräter: Söldnervariante,"Card Drafting,Hand Management,Modular Board,Partnerships,Variable Player Powers","Adlung-Spiele,New Games Order, LLC",6.74051,1709
73,6,60,10,2,60,Show Manager,60,1996,Card Game,,Dirk Henn,,"Card Drafting,Set Collection","Queen Games,db-Spiele",7.06054,1474
74,10,30,12,4,30,Apples to Apples,30,1999,"Card Game,Humor,Party Game",,"Matthew Kirby,Mark Alan Osterhaus","Apples to Apples Party Box Expansion ONE,Apples to Apples Party Box Expansion TWO,Apples to Apples: Expansion Set #1,Apples to Apples: Expansion Set #2,Apples to Apples: Expansion Set #3,Apples to Apples: Expansion Set #4,Scary Apples to Apples Snack Pack","Hand Management,Simultaneous Action Selection,Voting","Beverly Enterprises, Inc.,Excalibur Electronics,Holiday Games,Mattel,Out of the Box Publishing,Pegasus Spiele,Tactic",5.95458,14611
75,8,5,8,4,5,Falling,5,1998,"Card Game,Fantasy,Print & Play,Real-time",,James Ernest,,Hand Management,"Cheapass Games,Paizo Publishing,Portal Games,Titanic Games",5.49601,1264
76,6,120,10,2,120,Air Baron,120,1996,"Aviation / Flight,Economic,Territory Building",,Evan Davis (I),,"Area Control / Area Influence,Chit-Pull System,Dice Rolling",Avalon Hill,6.38664,716
77,2,240,12,2,240,EastFront,240,1991,"Wargame,World War II",,"Craig Besinque,Tom Dalgliesh","EuroFront,VolgaFront","Dice Rolling,Secret Unit Deployment,Simulation",Columbia Games,7.6713,626
78,2,240,12,2,240,WestFront,240,1992,"Wargame,World War II",,Craig Besinque,"EuroFront,MedFront","Dice Rolling,Secret Unit Deployment",Columbia Games,6.89085,177
82,2,240,12,2,240,Bobby Lee,240,1993,"American Civil War,Wargame",,Tom Dalgliesh,,"Dice Rolling,Secret Unit Deployment",Columbia Games,6.83287,297
83,2,180,12,2,180,Sam Grant,180,1997,"American Civil War,Wargame",,"Tom Dalgliesh,Gary Selkirk",,Secret Unit Deployment,Columbia Games,6.43277,119
84,2,150,12,2,150,Rommel in the Desert,150,1982,"Wargame,World War II",,Craig Besinque,,"Dice Rolling,Secret Unit Deployment","Columbia Games,Game Preserve",7.54068,878
85,2,60,12,2,60,Quebec 1759,60,1972,"Age of Reason,Wargame",,"Steve Brewster,Tom Dalgliesh,Lance Gutteridge",,"Dice Rolling,Point to Point Movement,Secret Unit Deployment","Columbia Games,Gamma Two Games",6.93157,616
87,6,180,12,2,180,Victory:  The Blocks of War,180,1998,"Wargame,World War II",,"Tom Dalgliesh,Grant Dalgliesh","Victory: The Blocks of War – Additional Blocksets,Victory: The Blocks of War – Elite Blocksets,Victory: The Blocks of War – Extra Maps,Victory: The Blocks of War – Logistics Set","Dice Rolling,Hex-and-Counter,Secret Unit Deployment","Columbia Games,Tilsit",6.3167,402
88,4,60,12,2,60,Torres,60,1999,"Abstract Strategy,Medieval",,"Michael Kiesling,Wolfgang Kramer",,"Action Point Allowance System,Area Control / Area Influence,Area Enclosure,Grid Movement,Hand Management,Tile Placement","ABACUSSPIELE,F.X. Schmid,HUCH! & friends,IDW Games,Ravensburger Spieleverlag GmbH,Rio Grande Games,Tilsit",7.17624,6980
89,4,120,12,2,120,Blue vs. Gray,120,1999,"American Civil War,Card Game,Dice,Wargame",,Evan Jones,,"Dice Rolling,Hand Management","GMT Games,QED Games",6.76958,408
90,2,20,8,2,20,Star Wars: Episode 1 – Clash of the Lightsabers,20,1999,"Card Game,Movies / TV / Radio theme,Science Fiction",,Craig Van Ness,,Hand Management,"Hasbro,Milton Bradley",6.29314,531
91,2,480,14,2,480,Paths of Glory,480,1999,"Wargame,World War I",,Ted Raicer,Paths of Glory Player's Guide,"Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement","Devir,GMT Games,Udo Grebe Gamedesign,Wargames Club Publishing,Wydawnictwo Gołębiewski",8.02578,3596
93,5,120,12,2,60,El Grande,120,1995,Renaissance,"El Grande Big Box,El Grande Decennial Edition","Wolfgang Kramer,Richard Ulrich","The El Grande Expansions,El Grande: Grandissimo,El Grande: Grossinquisitor und Kolonien,El Grande: König & Intrigant,El Grande: König & Intrigant – Player's Edition,El Grande: König & Intrigant – Unverkäufliche Sonderkarten","Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management,Memory,Simultaneous Action Selection","Hans im Glück Verlags-GmbH,999 Games,Användbart Litet Företag,Descartes Editeur,Filosofia Éditions,Gabinete Lúdico,Rio Grande Games",7.80446,18423
94,6,90,12,2,90,Union Pacific,90,1999,"Economic,Trains",,Alan R. Moon,,"Card Drafting,Route/Network Building,Stock Holding","999 Games,AMIGO Spiel + Freizeit GmbH,Rio Grande Games",7.24855,3932
